Title,SMILES,Actividad
SR-01000041207,CC(C)(C)NC(=O)NC(=O)COC(=O)c1ccc2c(c1)OCO2,0
SR-01000188332,CCCC1(C2CCN(Cc3cccc(Cl)c3)CC2)NC(=O)N(CC2CCCO2)C1=O,0
SR-01000038106,O=C1Nc2ccccc2/C1=N\N=C\c1ccc(O)c(O)c1,0
SR-01000314796,Cc1nc(N(CCC#N)CCC#N)sc1C,0
SR-01000470351,CCSc1nc2ccccc2c(=O)n1-c1cccc(OC)c1,0
SR-01000504569,CN(C)C(=O)COc1cc2oc(=O)c3c(c2cc1Cl)CCC3,0
SR-01000141691,COc1ccc(N2CCN(S(=O)(=O)c3ccc4[nH]c(=O)ccc4c3)CC2)cc1,0
SR-01000576245,CCOC(=O)CSc1ccc(C(=O)N2CCC3(CC2)OCCO3)cc1[N+](=O)[O-],0
SR-01000319842,CC[n+]1cnn(CC(=O)c2ccc(Cl)cc2Cl)c1,0
SR-01000575293,COC(=O)c1cn[nH]c1NC(=S)Nc1c(C)cccc1C,0
SR-01000053033,Nc1ccc([N+](=O)[O-])cc1NS(=O)(=O)c1ccc(Cl)cc1,0
SR-01000343958,Cn1c(SCC2CCCO2)nnc1-c1cccc([N+](=O)[O-])c1,0
SR-01000240444,CCOC(=O)c1sc(NC(=O)C(C)Oc2ccccc2OC)c(C(=O)OCC)c1C,0
SR-01000242033,COc1cc(NC(=O)COc2c(C)cc(C)cc2[N+](=O)[O-])c(OC)cc1Cl,0
SR-01000573969,O=C(c1cc(N2C(=O)C3C4CCC(C4)C3C2=O)ccc1Cl)N1CCN(Cc2ccccc2)CC1,0
SR-01000226540,N#C/C(=C/c1ccccc1F)C(=O)Nc1cccc(Br)c1,0
